name,num_cur_cases,num_cur_cases_b,num_cur_cases_w,num_cur_cases_o,population,num_dr,num_dr_b,num_dr_w,num_dr_o
Adams,1,0,1,0,101407,1,0,1,0
Allegheny,4,3,1,0,1223348,8,4,4,0
Armstrong,0,0,0,0,68941,0,0,0,0
Beaver,1,1,0,0,170539,0,0,0,0
Bedford,1,1,0,0,49762,0,0,0,0
Berks,2,1,1,0,411442,7,3,1,3
Blair,2,1,1,0,127089,3,1,1,1
Bradford,0,0,0,0,62622,3,0,3,0
Bucks,2,0,2,0,625249,4,1,3,0
Butler,1,0,1,0,183862,1,0,1,0
Cambria,0,0,0,0,143679,1,0,1,0
Cameron,0,0,0,0,5085,0,0,0,0
Carbon,0,0,0,0,65249,0,0,0,0
Centre,0,0,0,0,153990,0,0,0,0
Chester,0,0,0,0,498886,1,0,1,0
Clarion,0,0,0,0,39988,0,0,0,0
Clearfield,0,0,0,0,81642,0,0,0,0
Clinton,0,0,0,0,39238,0,0,0,0
Columbia,1,1,0,0,67295,2,0,2,0
Crawford,0,0,0,0,88765,0,0,0,0
Cumberland,2,1,1,0,235406,1,1,0,0
Dauphin,0,0,0,0,268100,2,1,1,0
Delaware,2,1,0,1,558979,2,2,0,0
Elk,0,0,0,0,31946,0,0,0,0
Erie,0,0,0,0,280566,1,0,1,0
Fayette,0,0,0,0,136606,1,0,1,0
Forest,0,0,0,0,7716,0,0,0,0
Franklin,0,0,0,0,149618,2,1,1,0
Fulton,0,0,0,0,14845,0,0,0,0
Greene,2,0,2,0,38686,1,0,1,0
Huntingdon,0,0,0,0,45913,0,0,0,0
Indiana,1,0,1,0,88880,0,0,0,0
Jefferson,0,0,0,0,45200,0,0,0,0
Juniata,0,0,0,0,24636,0,0,0,0
Lackawanna,0,0,0,0,214437,2,0,2,0
Lancaster,3,1,2,0,519445,7,2,3,2
Lawrence,1,1,0,0,91108,0,0,0,0
Lebanon,0,0,0,0,133568,0,0,0,0
Lehigh,1,0,0,1,349497,4,1,1,2
Luzerne,1,0,1,0,320918,1,1,0,0
Lycoming,2,0,2,0,116111,1,1,0,0
McKean,0,0,0,0,43450,0,0,0,0
Mercer,0,0,0,0,116638,0,0,0,0
Mifflin,0,0,0,0,46682,0,0,0,0
Monroe,3,2,1,0,169842,2,1,1,0
Montgomery,0,0,0,0,799874,3,1,1,1
Montour,0,0,0,0,18267,0,0,0,0
Northampton,5,5,0,0,297735,2,0,2,0
Northumberland,2,0,1,1,94528,1,0,1,0
Perry,0,0,0,0,45969,0,0,0,0
Philadelphia,0,0,0,0,1526006,28,23,2,3
Pike,0,0,0,0,57369,1,0,1,0
Potter,3,0,3,0,17457,0,0,0,0
Schuylkill,1,0,1,0,148289,1,0,1,0
Snyder,0,0,0,0,39702,0,0,0,0
Somerset,1,1,0,0,77742,0,0,0,0
Sullivan,0,0,0,0,6428,0,0,0,0
Susquehanna,0,0,0,0,43356,0,0,0,0
Tioga,0,0,0,0,41981,0,0,0,0
Union,0,0,0,0,44947,0,0,0,0
Venango,0,0,0,0,54984,0,0,0,0
Warren,0,0,0,0,41815,0,0,0,0
Washington,6,3,3,0,207820,1,1,0,0
Wayne,0,0,0,0,52822,0,0,0,0
Westmoreland,2,1,1,0,365169,5,2,3,0
Wyoming,0,0,0,0,28276,0,0,0,0
York,1,1,0,0,434972,9,4,4,1
